id,cleaned_time
2392,30
5857,100
6255,100
68,100
544,100
4231,100
5800,130
4699,132
6681,150
40,200
2527,200
5059,200
4669,200
6411,200
6434,200
836,200
2447,230
3554,245
550,300
6405,300
3148,300
5512,300
4387,300
2349,300
3776,300
2045,330
1093,330
4476,345
3572,400
4173,400
5681,400
5332,400
4721,400
978,400
6292,500
3723,500
1092,500
1773,500
5939,500
6275,500
6448,530
5921,530
3282,540
1475,545
1445,550
6623,600
727,600
4531,600
1021,600
6391,600
3474,600
1480,600
5955,600
4690,600
362,600
6801,600
901,600
1113,600
2766,600
5696,600
1721,600
4436,600
2236,610
1743,615
1005,615
559,615
4521,615
2049,630
1564,630
2633,630
442,630
1119,630
240,630
1126,630
3315,630
3397,630
2634,630
30,630
265,640
555,640
1793,645
4352,645
1090,645
2692,645
580,645
1397,645
1695,645
2691,645
2500,647
471,650
576,650
4183,650
593,655
2952,700
1797,700
2264,700
1176,700
1822,700
656,700
168,700
455,700
1719,700
1908,700
1706,700
832,700
6420,700
5995,700
4518,700
4530,700
3693,700
922,700
587,700
1965,700
2603,700
3435,700
964,700
122,700
2217,700
1112,700
121,700
4224,700
4472,700
354,700
2010,705
3121,705
283,707
2321,708
3134,710
571,715
3132,715
447,715
2173,715
292,715
1417,715
4285,715
119,715
4796,715
2919,719
2927,719
136,720
1437,720
2859,720
1702,730
1371,730
1690,730
2057,730
2326,730
3222,730
4824,730
2646,730
3036,730
1076,730
674,730
4697,730
1934,730
3415,730
5930,730
3843,730
2368,730
512,730
826,730
1707,730
184,730
842,730
1001,730
1899,730
2463,730
1018,730
6376,730
2188,730
1800,730
3899,730
4095,730
3098,730
3162,730
5404,730
4367,730
237,731
4256,732
3170,740
3394,740
1779,745
1785,745
355,745
341,745
2379,745
755,745
636,745
2332,745
61,745
2688,750
65,750
2470,750
225,750
269,751
164,753
1385,756
344,758
924,800
1102,800
494,800
5821,800
3118,800
514,800
350,800
4771,800
2433,800
708,800
4664,800
2175,800
1020,800
4115,800
4550,800
4536,800
1062,800
2218,800
444,800
665,800
1640,800
2408,800
472,800
430,800
683,800
685,800
1680,800
3482,800
410,800
3076,800
2393,800
2042,800
4396,800
3961,800
312,800
1124,800
128,800
1777,800
145,800
3713,800
1233,800
570,800
5031,800
1926,800
1918,805
1636,805
1365,810
3251,810
1495,810
1959,810
648,815
2391,815
379,815
1964,815
3558,815
315,815
554,815
1317,820
1209,820
1364,830
540,830
2998,830
1698,830
3221,830
1409,830
532,830
906,830
6232,830
5119,830
2022,830
2023,830
3675,830
4438,830
2786,830
2863,830
2329,830
2912,830
771,830
1329,830
1010,830
994,830
476,830
612,830
3080,830
3529,830
552,830
2918,830
4450,830
1752,830
4642,830
420,830
1356,830
604,830
3475,835
578,840
2452,840
361,840
82,845
1665,845
1953,845
1255,845
1909,845
3053,845
1756,845
4350,845
1284,845
1740,845
1869,845
1231,845
1031,845
2792,845
528,848
1618,850
2429,850
791,850
3915,855
317,856
3377,857
5953,858
825,900
4651,900
4933,900
831,900
1236,900
1470,900
577,900
3896,900
1206,900
1516,900
4675,900
1468,900
969,900
1051,900
1192,900
1036,900
591,900
2518,900
5765,900
3809,900
1486,900
2897,900
586,900
3742,900
5129,900
1189,900
2820,900
583,900
1037,900
4640,900
837,900
1478,900
1215,900
2759,900
2705,900
1239,900
704,900
938,900
927,900
780,900
710,900
3905,900
715,900
719,900
3681,900
2581,900
926,900
908,900
778,900
729,900
1344,900
5069,900
1337,900
1107,900
1336,900
2748,900
1334,900
1104,900
2978,900
3965,900
765,900
4794,900
1105,900
5451,900
2855,900
3955,900
3954,900
5408,900
963,900
813,900
1433,900
812,900
810,900
2644,900
5414,900
1431,900
2531,900
645,900
1426,900
2893,900
4677,900
961,900
1425,900
1306,900
957,900
5014,900
1070,900
1075,900
2840,900
794,900
1261,900
1109,900
3660,900
1084,900
5229,900
2640,900
4072,900
1606,900
3547,900
6455,900
6156,900
3348,900
144,900
6143,900
2270,900
1952,900
2266,900
4488,900
1717,900
6119,900
3568,900
3359,900
1710,900
6105,900
6041,900
3570,900
2015,900
2224,900
4200,900
6516,900
2405,900
1981,900
1762,900
3216,900
1976,900
2317,900
1971,900
1962,900
6036,900
388,900
3217,900
4201,900
4459,900
154,900
3526,900
218,900
6300,900
1868,900
2325,900
1850,900
210,900
4147,900
4152,900
2301,900
1886,900
1828,900
258,900
1826,900
1887,900
4402,900
1813,900
6454,900
2274,900
4179,900
6224,900
313,900
1778,900
6221,900
1906,900
1784,900
4076,900
2350,900
2279,900
6269,900
1896,900
4131,900
6594,900
6307,900
2439,900
5894,900
72,900
535,900
2034,900
1635,900
45,900
2112,900
2199,900
1632,900
510,900
51,900
3604,900
522,900
6754,900
1609,900
2071,900
489,900
5895,900
4581,900
4227,900
493,900
4597,900
460,900
4245,900
42,900
2152,900
1572,900
4099,900
4275,900
439,900
3611,900
2468,900
3188,900
3152,900
4083,900
2772,900
5952,900
2187,900
5946,900
6896,900
74,900
2176,900
2426,900
1405,905
399,908
346,910
2522,910
1519,911
5026,915
484,915
5261,915
295,915
2881,915
5873,915
41,915
2761,915
562,915
3416,915
1808,920
605,929
833,930
2627,930
6231,930
1195,930
3625,930
3550,930
3135,930
1818,930
5347,930
565,930
814,930
79,930
2355,930
1669,930
671,930
4353,930
657,930
1678,930
4535,930
5597,930
4768,930
955,930
3235,930
391,930
4545,930
4393,930
1443,930
1712,930
3365,930
2272,930
1175,930
4313,930
2605,930
4123,930
2725,930
3702,930
1049,930
666,930
3249,930
3257,930
1765,935
2841,935
352,936
441,940
660,940
1360,940
2384,940
1977,945
2203,945
1072,945
2242,945
1185,945
3373,945
3168,945
2450,945
3653,945
3203,945
1414,945
3056,945
1907,950
845,950
1499,950
2823,955
3245,955
1204,957
462,1000
5931,1000
6619,1000
4034,1000
433,1000
216,1000
5960,1000
2413,1000
431,1000
2008,1000
1089,1000
3205,1000
1986,1000
4414,1000
3851,1000
1083,1000
71,1000
4556,1000
5916,1000
566,1000
2487,1000
4242,1000
1013,1000
574,1000
561,1000
1543,1000
3123,1000
993,1000
2036,1000
546,1000
1026,1000
2098,1000
3109,1000
5755,1000
3784,1000
3442,1000
5881,1000
2564,1000
615,1000
1503,1000
4749,1000
1673,1000
1533,1000
3523,1000
891,1000
3876,1000
2330,1000
767,1000
2609,1000
6482,1000
5307,1000
1833,1000
773,1000
1771,1000
251,1000
309,1000
805,1000
5415,1000
1257,1000
2922,1000
2965,1000
1741,1000
1849,1000
1927,1000
3751,1000
5536,1000
730,1000
3566,1000
1351,1000
3974,1000
738,1000
268,1000
151,1000
230,1000
3567,1000
1123,1000
2398,1007
96,1010
1025,1010
109,1010
2515,1010
3034,1015
1696,1015
1794,1015
3668,1015
3202,1015
3339,1015
3340,1015
970,1015
2051,1015
1747,1015
1996,1015
189,1015
4111,1015
1767,1016
815,1020
3734,1020
2568,1020
3615,1020
4446,1020
474,1020
4020,1020
1085,1020
53,1020
3495,1022
3338,1025
2892,1025
4804,1025
1012,1025
989,1025
1766,1027
2755,1028
513,1030
4116,1030
1670,1030
139,1030
4532,1030
847,1030
3369,1030
5231,1030
3493,1030
839,1030
4898,1030
2731,1030
1064,1030
1541,1030
6582,1030
2232,1030
4499,1030
1905,1030
1715,1030
4429,1030
314,1030
261,1030
250,1030
3261,1030
337,1030
