id,Country,Date_Comment
298,USA,Check
299,USA,Check
300,USA,Check
301,USA,Check
302,ENGLAND,Check
303,AUSTRALIA,Check
304,NEW CALEDONIA,Check
305,USA,Check
306,AUSTRALIA,Check
307,AUSTRALIA,Check
308,USA,Check
309,BELIZE,Check
310,USA,Check
311,USA,Check
312,JAMAICA,Check
313,USA,Check
314,USA,Check
315,FRENCH POLYNESIA,Check
316,NEW CALEDONIA,Check
317,USA,Check
318,AUSTRALIA,Check
319,USA,Check
320,SOUTH AFRICA,Check
321,SOUTH AFRICA,Check
322,USA,Check
323,USA,Check
324,AUSTRALIA,Check
325,FRENCH POLYNESIA,Check
326,USA,Check
327,USA,Check
328,USA,Check
329,AUSTRALIA,Check
330,USA,Check
331,NEW CALEDONIA,Check
332,NEW CALEDONIA,Check
333,AUSTRALIA,Check
334,USA,Check
335,AUSTRALIA,Check
336,USA,Check
337,AUSTRALIA,Check
338,NEW ZEALAND,Check
339,AUSTRALIA,Check
340,USA,Check
341,USA,Check
342,AUSTRALIA,Check
343,BRAZIL,Check
344,AUSTRALIA,Check
345,AUSTRALIA,Check
346,ST KITTS / NEVIS,Check
347,NEW ZEALAND,Check
348,USA,Check
349,USA,Check
350,USA,Check
351,USA,Check
352,MALDIVES,Check
353,ST MARTIN,Check
354,AUSTRALIA,Check
355,USA,Check
356,USA,Check
357,AUSTRALIA,Check
358,EGYPT,Check
359,USA,Check
360,NEW CALEDONIA,Check
361,AUSTRALIA,Check
362,AUSTRALIA,Check
363,USA,Check
364,BAHAMAS,Check
365,USA,Check
366,EGYPT,Check
367,AUSTRALIA,Check
368,USA,Check
369,AUSTRALIA,Check
370,USA,Check
371,AUSTRALIA,Check
372,USA,Check
373,USA,Check
374,USA,Check
375,AUSTRALIA,Check
376,AUSTRALIA,Check
377,USA,Check
378,USA,Check
379,USA,Check
380,USA,Check
381,AUSTRALIA,Check
382,USA,Check
383,USA,Check
384,AUSTRALIA,Check
385,USA,Check
386,USA,Check
387,USA,Check
388,USA,Check
389,USA,Check
390,USA,Check
391,AUSTRALIA,Check
392,USA,Check
393,USA,Check
394,USA,Check
395,USA,Check
396,USA,Check
397,AUSTRALIA,Check
398,USA,Check
399,AUSTRALIA,Check
400,FRENCH POLYNESIA,Check
401,USA,Check
402,USA,Check
403,USA,Check
404,USA,Check
405,USA,Check
406,AUSTRALIA,Check
407,USA,Check
408,AUSTRALIA,Check
409,AUSTRALIA,Check
410,USA,Check
411,AUSTRALIA,Check
412,USA,Check
413,USA,Check
414,BAHAMAS,Check
415,SOUTH AFRICA,Check
416,NEW CALEDONIA,Check
417,AUSTRALIA,Check
418,AUSTRALIA,Check
419,USA,Check
420,USA,Check
421,BAHAMAS,Check
422,AUSTRALIA,Check
423,THAILAND,Check
424,SPAIN,Check
425,FRENCH POLYNESIA,Check
426,USA,Check
427,AUSTRALIA,Check
428,USA,Check
429,USA,Check
430,AUSTRALIA,Check
431,USA,Check
432,AUSTRALIA,Check
433,AUSTRALIA,Check
434,USA,Check
435,USA,Check
436,USA,Check
437,AUSTRALIA,Check
438,NEW ZEALAND,Check
439,FIJI,Check
440,NEW ZEALAND,Check
441,USA,Check
442,FRENCH POLYNESIA,Check
443,BAHAMAS,Check
444,AUSTRALIA,Check
445,NEW ZEALAND,Check
446,USA,Check
447,THAILAND,Check
448,AUSTRALIA,Check
449,AUSTRALIA,Check
450,NEW CALEDONIA,Check
451,AUSTRALIA,Check
452,AUSTRALIA,Check
453,SEYCHELLES,Check
454,PAPUA NEW GUINEA,Check
455,SOUTH AFRICA,Check
456,NEW ZEALAND,Check
457,USA,Check
458,AUSTRALIA,Check
459,REUNION ISLAND,Check
460,AUSTRALIA,Check
461,CUBA,Check
462,USA,Check
463,USA,Check
464,AUSTRALIA,Check
465,AUSTRALIA,Check
466,MEXICO,Check
467,ISRAEL,Check
468,FRENCH POLYNESIA,Check
469,USA,Check
